EmployeeNumber,Age,Gender,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
10001,41,Female,Yes,Travel_Rarely,1102,1,2,Life Sciences,1,2,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5
10002,49,Male,No,Travel_Frequently,279,8,1,Life Sciences,1,3,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7
10003,37,Male,Yes,Travel_Rarely,1373,2,2,Other,1,4,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0
10004,33,Female,No,Travel_Frequently,1392,3,4,Life Sciences,1,4,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0
10005,27,Male,No,Travel_Rarely,591,2,1,Medical,1,1,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
10006,32,Male,No,Travel_Frequently,1005,2,2,Life Sciences,1,4,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6
10007,59,Female,No,Travel_Rarely,1324,3,3,Medical,1,3,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0
10008,30,Male,No,Travel_Rarely,1358,24,1,Life Sciences,1,4,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0
10009,38,Male,No,Travel_Frequently,216,23,3,Life Sciences,1,4,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8
10010,36,Male,No,Travel_Rarely,1299,27,3,Medical,1,3,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7
10011,35,Male,No,Travel_Rarely,809,16,3,Medical,1,1,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3
10012,29,Female,No,Travel_Rarely,153,15,2,Life Sciences,1,4,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8
10013,31,Male,No,Travel_Rarely,670,26,1,Life Sciences,1,1,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3
10014,34,Male,No,Travel_Rarely,1346,19,2,Medical,1,2,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2
10015,28,Male,Yes,Travel_Rarely,103,24,3,Life Sciences,1,3,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3
10016,29,Female,No,Travel_Rarely,1389,21,4,Life Sciences,1,2,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
10017,32,Male,No,Travel_Rarely,334,5,2,Life Sciences,1,1,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
10018,22,Male,No,Non-Travel,1123,16,2,Medical,1,4,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
10019,53,Female,No,Travel_Rarely,1219,2,4,Life Sciences,1,1,78,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7
10020,38,Male,No,Travel_Rarely,371,2,3,Life Sciences,1,4,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
10021,24,Female,No,Non-Travel,673,11,2,Other,1,1,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
10022,36,Male,Yes,Travel_Rarely,1218,9,4,Life Sciences,1,3,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3
10023,34,Female,No,Travel_Rarely,419,7,4,Life Sciences,1,1,53,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11
10024,21,Male,No,Travel_Rarely,391,15,2,Life Sciences,1,3,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0
10025,34,Male,Yes,Travel_Rarely,699,6,1,Medical,1,2,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3
10026,53,Female,No,Travel_Rarely,1282,5,3,Other,1,3,58,3,5,Manager,3,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8
10027,32,Female,Yes,Travel_Frequently,1125,16,1,Life Sciences,1,2,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7
10028,42,Male,No,Travel_Rarely,691,8,4,Marketing,1,3,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2
10029,44,Female,No,Travel_Rarely,477,7,4,Medical,1,1,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17
10030,46,Female,No,Travel_Rarely,705,2,4,Marketing,1,2,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1
10031,33,Male,No,Travel_Rarely,924,2,3,Medical,1,3,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0
10032,44,Male,No,Travel_Rarely,1459,10,4,Other,1,4,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3
10033,30,Male,No,Travel_Rarely,125,9,2,Medical,1,4,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8
10034,39,Male,Yes,Travel_Rarely,895,5,3,Technical Degree,1,4,56,3,2,Sales Representative,4,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0
