Name,Birth State
George Washington,"""Virginia"""
John Adams,"""Massachusetts"""
Thomas Jefferson,"""Virginia"""
James Madison,"""Virginia"""
James Monroe,"""Virginia"""
John Quincy Adams,"""Massachusetts"""
Andrew Jackson,"""South Carolina"""
Martin Van Buren,"""New York"""
William Henry Harrison,"""Virginia"""
John Tyler,"""Virginia"""
James K. Polk,"""North Carolina"""
Zachary Taylor,"""Virginia"""
Millard Fillmore,"""New York"""
Franklin Pierce,"""New Hampshire"""
James Buchanan,"""Pennsylvania"""
Abraham Lincoln,"""Kentucky"""
Andrew Johnson,"""North Carolina"""
Ulysses S. Grant,"""Ohio"""
Rutherford B. Hayes,"""Ohio"""
James A. Garfield,"""Ohio"""
Chester A. Arthur,"""Vermont"""
Grover Cleveland,"""New Jersey"""
Benjamin Harrison,"""Ohio"""
Grover Cleveland,"""New Jersey"""
William McKinley,"""Ohio"""
Theodore Roosevelt,"""New York"""
William Howard Taft,"""Ohio"""
Woodrow Wilson,"""Virginia"""
Warren G. Harding,"""Ohio"""
Calvin Coolidge,"""Vermont"""
Herbert Hoover,"""Iowa"""
Franklin D. Roosevelt,"""New York"""
Harry S. Truman,"""Missouri"""
Dwight D. Eisenhower,"""Texas"""
John F. Kennedy,"""Massachusetts"""
Lyndon B. Johnson,"""Texas"""
Richard Nixon,"""California"""
Gerald Ford,"""Nebraska"""
Jimmy Carter,"""Georgia"""
Ronald Reagan,"""Illinois"""
George H. W. Bush,"""Massachusetts"""
Bill Clinton,"""Arkansas"""
George W. Bush,"""Connecticut"""
Barack Obama,"""Hawaii"""
Donald Trump,"""New York"""
