Country name,Regional indicator,Happiness Scores,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Mauritius,Africa,6.101299763,0.057226494,6.213463783,5.989135742,9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,0.805343091,1.972316742,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229,2.006720543
Libya,Africa,5.488800049,0.060677204,5.607727528,5.36987257,9.789815903,0.825942934,62.29999924,0.773157001,-0.085054487,0.668779135,1.972316742,1.021913767,1.196283698,0.615626633,0.451354057,0.142757699,0.172258079,1.888563156
Ivory Coast,Africa,5.233300209,0.073095515,5.376567364,5.090033054,8.225561142,0.658048689,49.50377274,0.727909327,-0.043991156,0.790771961,1.972316742,0.537094414,0.799727261,0.154942513,0.397122532,0.169915587,0.093495794,3.081022501
Benin,Africa,5.21600008,0.077759244,5.368408203,5.063591957,7.674319744,0.468671143,54.31246567,0.735182583,-0.003537213,0.740532577,1.972316742,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874,3.440809727
Congo (Brazzaville),Africa,5.194399834,0.077028967,5.345376492,5.043423176,8.536987305,0.640228093,57.92448044,0.719058514,-0.123674095,0.751779079,1.972316742,0.633616745,0.757636011,0.458101124,0.386514395,0.117216013,0.118670784,2.722619534
Ghana,Africa,5.147999763,0.058634609,5.262923717,5.033075809,8.350645065,0.728601098,57.20398712,0.794796526,0.094170853,0.847964764,1.972316742,0.575862467,0.96636796,0.432162255,0.477290064,0.261291206,0.056570381,2.378437281
Morocco,Africa,5.094799995,0.05565045,5.203875065,4.985724926,8.940313339,0.592628479,65.89624023,0.772072434,-0.240377247,0.815724611,1.972316742,0.75862211,0.645208478,0.745096922,0.450054139,0.040032551,0.077385604,2.378402472
Cameroon,Africa,5.084899902,0.067296073,5.216800213,4.952999592,8.118647575,0.700386405,52.7049408,0.763051808,-0.00149645,0.851336598,1.972316742,0.503958046,0.89972645,0.270189553,0.439242482,0.198020101,0.054393422,2.719370842
Algeria,Africa,5.005099773,0.044236008,5.09180212,4.918397427,9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,0.735485137,1.972316742,0.943856001,1.143003583,0.745418549,0.083943799,0.118915014,0.129190654,1.840811729
Senegal,Africa,4.980800152,0.05276908,5.084227562,4.877372742,8.118982315,0.723616004,59.59915161,0.690596163,-0.052335154,0.808785141,1.972316742,0.504061818,0.95459342,0.518391907,0.352400899,0.164397135,0.081865937,2.405123949
Guinea,Africa,4.949299812,0.073042229,5.09246254,4.806137085,7.750990391,0.637573481,54.46780014,0.706846774,0.076328471,0.761794448,1.972316742,0.390007734,0.75136596,0.333655238,0.371878058,0.249490842,0.112204559,2.740729809
Niger,Africa,4.909599781,0.077208281,5.060927868,4.758271694,6.842166901,0.617435038,53.50009537,0.759772122,0.013860817,0.722530186,1.972316742,0.108330332,0.703800142,0.298816353,0.435311615,0.208176896,0.137554765,3.017630577
Gabon,Africa,4.829299927,0.060268242,4.947425842,4.711174011,9.680537224,0.787886858,59.71533966,0.704829216,-0.222261623,0.849150956,1.972316742,0.988044381,1.10639751,0.522574842,0.369459897,0.052013602,0.055804539,1.735027552
South Africa,Africa,4.814099789,0.060023591,4.931746006,4.696453571,9.403370857,0.852532268,56.50601196,0.759330094,-0.109777324,0.843423843,1.972316742,0.902140439,1.259086251,0.407034069,0.43478182,0.126406848,0.05950214,1.625117302
Burkina Faso,Africa,4.768700123,0.062067267,4.890351772,4.647048473,7.46854496,0.712943614,53.88945389,0.665563583,-0.019080516,0.739795029,1.972316742,0.302467644,0.9293859,0.312833875,0.322398156,0.186390609,0.126408055,2.588826418
Gambia,Africa,4.750599861,0.067163654,4.882240772,4.61895895,7.321814537,0.6931687,55.0120163,0.733163178,0.343198717,0.690717816,1.972316742,0.256990552,0.882678688,0.353247881,0.403419524,0.425989687,0.158093795,2.270216465
Mali,Africa,4.729300022,0.064362764,4.855451107,4.603148937,7.629852295,0.731468976,51.72698212,0.71156615,-0.044366926,0.839328408,1.972316742,0.352462649,0.97314173,0.234981522,0.377534449,0.16966705,0.062146276,2.559335232
Nigeria,Africa,4.724100113,0.05211626,4.826248169,4.621952057,8.57662487,0.73721689,49.86190796,0.759578407,0.033745807,0.861874342,1.972316742,0.645901859,0.986717939,0.167835936,0.435079455,0.221328124,0.047589935,2.219635487
Mozambique,Africa,4.623600006,0.079284087,4.778996944,4.468203068,7.069345951,0.723874032,54.20582199,0.864451885,0.032375868,0.683019102,1.972316742,0.178741366,0.955202878,0.324223638,0.56077534,0.220422104,0.163064316,2.221216202
Kenya,Africa,4.583000183,0.067804985,4.715898037,4.450102329,8.02977562,0.702652037,60.09693146,0.829747558,0.294681519,0.831499159,1.972316742,0.476413399,0.905077755,0.536312759,0.519180536,0.393902093,0.067201078,1.684904575
Namibia,Africa,4.571100235,0.060983475,4.690628052,4.451572418,9.203141212,0.846880972,56.50148773,0.767520964,-0.18530646,0.851449788,1.972316742,0.84008199,1.245738149,0.40687117,0.444598973,0.076454483,0.054320343,1.503033161
Liberia,Africa,4.557899952,0.081956357,4.71853447,4.397265434,7.054380417,0.70928055,56.09631348,0.735268712,0.04227322,0.856375933,1.972316742,0.174103007,0.920733929,0.392284274,0.405943096,0.226967871,0.051139876,2.386757851
Uganda,Africa,4.43200016,0.068495452,4.566251278,4.297749043,7.500389576,0.764994621,55.70820236,0.731713951,0.099487431,0.836737812,1.972316742,0.312337428,1.052327394,0.378311664,0.401682556,0.264807373,0.063818842,1.958671093
Chad,Africa,4.422699928,0.075231321,4.570153236,4.27524662,7.467963696,0.632388055,48.22053909,0.587305248,0.017834719,0.802760839,1.972316742,0.302287489,0.739118278,0.1087441,0.228601769,0.210805088,0.085755408,2.74742651
Tunisia,Africa,4.392199993,0.049670532,4.489554405,4.294845581,9.314972878,0.688718557,66.89785767,0.593361557,-0.216413811,0.867590249,1.972316742,0.874742687,0.872167706,0.781156719,0.235860556,0.055881143,0.043899573,1.528496742
Mauritania,Africa,4.374599934,0.055093341,4.482583046,4.266616821,8.233919144,0.790819228,57.01017761,0.551522553,-0.106008142,0.746223509,1.972316742,0.539684892,1.113323569,0.425184816,0.185714483,0.128899664,0.122257635,1.85955739
Congo (Kinshasa),Africa,4.31099987,0.108998232,4.524636269,4.097363472,6.694256306,0.672159016,52.90000153,0.700793564,0.083637655,0.809403598,1.972316742,0.062487468,0.833055019,0.277212054,0.36462298,0.254324883,0.081466645,2.437864304
Swaziland,Africa,4.308100224,0.07145194,4.448145866,4.168054581,9.16267395,0.770290196,51.18823624,0.646822274,-0.19920142,0.708263338,1.972316742,0.827539742,1.064835191,0.215585828,0.299935788,0.067264833,0.146765873,1.686207294
Comoros,Africa,4.288599968,0.084340192,4.453906536,4.1232934,7.833630085,0.625662446,57.34901047,0.547612607,0.090008408,0.780622602,1.972316742,0.415620774,0.723232806,0.437383324,0.181028232,0.258538276,0.100048535,2.17276907
Togo,Africa,4.187200069,0.062506773,4.309713364,4.064686775,7.357711315,0.551312625,54.71989822,0.649828613,0.002667875,0.757733464,1.972316742,0.268116266,0.547622859,0.342731178,0.303539038,0.200774252,0.114826456,2.409595251
Ethiopia,Africa,4.186200142,0.038915094,4.262473583,4.109926701,7.509385586,0.743307352,58.63959122,0.740795195,0.043377332,0.753690004,1.972316742,0.315125644,1.001103282,0.483846247,0.41256687,0.227698103,0.117437035,1.628459215
Madagascar,Africa,4.165599823,0.057542104,4.278382301,4.052817345,7.281685829,0.668195903,59.10542679,0.557574093,-0.011823639,0.817485631,1.972316742,0.244553208,0.823694348,0.500617027,0.192967549,0.191190064,0.076248638,2.136298418
Egypt,Africa,4.151400089,0.035979424,4.221919537,4.080880642,9.316541672,0.735447824,61.78015137,0.708354175,-0.196878314,0.787726879,1.972316742,0.875228941,0.982539535,0.596911311,0.373684734,0.068801254,0.095461793,1.158818245
Sierra Leone,Africa,3.926399946,0.061150789,4.046255589,3.806544304,7.26880312,0.636142015,50.86514282,0.715315044,0.088660747,0.861330688,1.972316742,0.240560383,0.747984946,0.203953966,0.382027686,0.257647008,0.047940936,2.046271801
Burundi,Africa,3.775300026,0.107122384,3.98526001,3.565340042,6.492642403,0.490325719,53.40000153,0.626350224,-0.017551597,0.606934547,1.972316742,0,0.403575271,0.295212835,0.275399059,0.187401786,0.212186828,2.401507378
Zambia,Africa,3.759399891,0.06067669,3.878326178,3.640473604,8.224720001,0.698824465,55.29937744,0.806500256,0.078037128,0.801289678,1.972316742,0.536833763,0.896037281,0.36359334,0.49131754,0.250620902,0.086705238,1.134339333
Lesotho,Africa,3.652800083,0.082120985,3.813757181,3.491842985,7.960488319,0.780495703,48.00362396,0.738125861,-0.145732045,0.857392073,1.972316742,0.45493874,1.088940024,0.100934811,0.409367532,0.102627642,0.050483823,1.445513964
Malawi,Africa,3.538000107,0.070260517,3.675710678,3.400289536,7.062226295,0.544007301,57.59288788,0.803223193,0.021433279,0.731700778,1.972316742,0.176534727,0.53036809,0.446163297,0.487389833,0.213185057,0.131633952,1.552718282
Botswana,Africa,3.478899956,0.060542691,3.597563744,3.360236168,9.711203575,0.779121757,58.92445374,0.821328104,-0.250394493,0.777930915,1.972316742,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368,0.257240534
Tanzania,Africa,3.476200104,0.06320975,3.600091219,3.352308989,7.967665195,0.688933194,57.49607468,0.82153976,0.109668687,0.619799435,1.972316742,0.457163125,0.872674644,0.442677855,0.509343088,0.27154091,0.203880861,0.718963385
Central African Republic,Africa,3.475899935,0.115182951,3.701658487,3.250141382,6.625160217,0.319459856,45.20000076,0.640880644,0.082410358,0.891806662,1.972316742,0.041072082,0,0,0.292814463,0.253513217,0.028264718,2.860197544
Rwanda,Africa,3.312299967,0.052425209,3.415053368,3.209546566,7.600104332,0.54083544,61.09884644,0.900589406,0.055483952,0.183541179,1.972316742,0.343242675,0.522876322,0.572383285,0.604087889,0.235704988,0.485542476,0.548444986
Zimbabwe,Africa,3.299200058,0.058674462,3.414201975,3.184198141,7.865711689,0.763092756,55.61725998,0.711457908,-0.072063953,0.81023699,1.972316742,0.425564021,1.047835231,0.375037611,0.37740472,0.151349187,0.080928579,0.841031075
South Sudan,Africa,2.816600084,0.107610404,3.027516365,2.605683804,7.425359726,0.553707123,51,0.451313615,0.016518548,0.763417304,1.972316742,0.289082974,0.553278506,0.208809033,0.065609254,0.209934607,0.111156799,1.378751278
